STT (cột 1)	STT của chương (cột 2)	Tên chương (cột 3)	Mã liên kết (cột 4)	Tên kỹ thuật (cột 5)	
5571	60	19. Phục hồi chức năng		Kỹ thuật Epley điều trị chóng mặt do tư thế kịch phát lành tính	
5572	61	19. Phục hồi chức năng 	17.31	Kỹ thuật đặt tư thế đúng cho người bệnh liệt nửa người	
5573	62	19. Phục hồi chức năng 	17.32	Tập nằm đúng tư thế cho người bệnh liệt tủy	
5574	63	19. Phục hồi chức năng 	17.34	Kỹ thuật tập đứng và đi cho người bệnh liệt nửa người	
5575	64	19. Phục hồi chức năng 	17.35	Tập lăn trở khi nằm	
					
5576	65	19. Phục hồi chức năng 	17.36	Tập thay đổi tư thế từ nằm sang ngồi	
5577	66	19. Phục hồi chức năng 	17.37	Tập ngồi thăng bằng tĩnh và động	
5578	67	19. Phục hồi chức năng 	17.38	Tập thay đổi tư thế từ ngồi sang đứng	
5579	68	19. Phục hồi chức năng 	17.39	Tập đứng thăng bằng tĩnh và động	
5580	69	19. Phục hồi chức năng 	17.4	Tập dáng đi	
5581	70	19. Phục hồi chức năng 	17.41	Tập đi với thanh song song	
5582	71	19. Phục hồi chức năng 	17.42	Tập đi với khung tập đi	
5583	72	19. Phục hồi chức năng 	17.43	"Tập đi với nạng (nạng nách, nạng khuỷu)"	
5584	73	19. Phục hồi chức năng 	17.44	Tập đi với gậy	
5585	74	19. Phục hồi chức năng 	17.45	Tập đi với bàn xương cá	
5586	75	19. Phục hồi chức năng 	17.46	Tập đi trên máy thảm lăn (Treadmill)	
5587	76	19. Phục hồi chức năng 	17.47	"Tập lên, xuống cầu thang"	
5588	77	19. Phục hồi chức năng 	17.48	"Tập đi trên các địa hình khác nhau (dốc sỏi, gồ ghề...)"	
5589	78	19. Phục hồi chức năng 	17.49	Tập đi với chân giả trên gối	
5590	79	19. Phục hồi chức năng 	17.5	Tập đi với chân giả dưới gối	
5591	80	19. Phục hồi chức năng 	17.51	Tập đi với khung treo	
5592	81	19. Phục hồi chức năng	3.822; 17.52 	Tập vận động thụ động	
5593	82	19. Phục hồi chức năng	17.53; 3.811 	Tập vận động có trợ giúp	
5594	83	19. Phục hồi chức năng	3.821; 17.56 	Tập vận động có kháng trở	
5595	84	19. Phục hồi chức năng 	17.57	Tập kéo dãn	
5596	85	19. Phục hồi chức năng 	17.58	Tập vận động trên bóng	
5597	86	19. Phục hồi chức năng 	17.6	Tập tạo thuận thần kinh cơ cảm thụ bản thể (PNF) chi trên	
					
5598	87	19. Phục hồi chức năng 	17.64	Tập tạo thuận thần kinh cơ cảm thụ bản thể (PNF) chi dưới	
5599	88	19. Phục hồi chức năng 	17.78	Kỹ thuật kéo nắn trị liệu	
5600	89	19. Phục hồi chức năng 	17.79	Kỹ thuật di động khớp	
5601	90	19. Phục hồi chức năng 	17.81	Kỹ thuật tập chuỗi đóng và chuỗi mở	
5602	91	19. Phục hồi chức năng 	17.83	Kỹ thuật ức chế co cứng chân	
5603	92	19. Phục hồi chức năng 	17.84	Kỹ thuật ức chế co cứng thân mình	
5604	93	19. Phục hồi chức năng 	17.87	Kỹ thuật Frenkel	
5605	94	19. Phục hồi chức năng 	17.88	Kỹ thuật ức chế và phá vỡ các phản xạ bệnh lý	
5606	95	19. Phục hồi chức năng	3.896; 17.167 	Tập vận động cột sống	
5607	96	19. Phục hồi chức năng 	17.179	Kỹ thuật kiểm soát tư thế và vận động cho người bệnh Parkinson	
5608	97	19. Phục hồi chức năng 	17.18	Kỹ thuật kiểm soát tư thế hội chứng sợ sau ngã	
5609	98	19. Phục hồi chức năng 	17.181	Kỹ thuật ngồi/đứng dậy từ sàn nhà	
5610	99	19. Phục hồi chức năng 	17.183	Kỹ thuật tập sức bền không có gắn máy theo dõi tim mạch	
5611	100	19. Phục hồi chức năng	17.57; 17.78 	"Kéo nắn, kéo dãn cột sống, các khớp"	
5612	101	19. Phục hồi chức năng	3.889; 17.250 	Tập do cứng khớp	
5613	102	19. Phục hồi chức năng 		Dịch chuyển sớm cho người bệnh đột qụy não	
5614	103	19. Phục hồi chức năng 	17.85	Kỹ thuật xoa bóp vùng	
5615	104	19. Phục hồi chức năng 		Xoa bóp áp lực hơi	
5616	105	19. Phục hồi chức năng 		Kỹ thuật điều trị bằng máy ép khí ngắt quãng	
5617	106	19. Phục hồi chức năng 	17.86	Kỹ thuật xoa bóp toàn thân	
5618	107	19. Phục hồi chức năng 	17.169	Kỹ thuật xoa bóp dẫn lưu	
5619	108	19. Phục hồi chức năng 	17.168	Kỹ thuật xoa bóp bằng máy	
					
5620	109	19. Phục hồi chức năng 		Kỹ thuật đi bằng robot kết hợp kích thích điện chức năng	
5621	110	19. Phục hồi chức năng		Tập đi trên máy chạy thảm lăn (treadmill) có nâng đỡ một phần trọng lượng	
5622	111	19. Phục hồi chức năng 	17.182	Kỹ thuật tập sức bền có gắn máy theo dõi tim mạch	
5623	112	19. Phục hồi chức năng 	17.69	Tập với máy tập thăng bằng	
5624	113	19. Phục hồi chức năng 	17.157	Điều trị bằng từ trường xuyên sọ	
5625	114	19. Phục hồi chức năng 	3.703;3.702 	Kỹ thuật kích thích điện chức năng (FES)	
5626	115	19. Phục hồi chức năng 	17.173	Kỹ thuật tập vận động trên hệ thống người máy (Robot)	
5627	116	19. Phục hồi chức năng 	17.174	Kỹ thuật tập vận động trên máy chức năng	
5628	117	19. Phục hồi chức năng 	17.185	Kỹ thuật tập mạnh cơ bằng phản hồi sinh học (Biofeedback)	
5629	118	19. Phục hồi chức năng 	17.186	Kỹ thuật tập mạnh cơ với máy Isokinetic	
5630	119	19. Phục hồi chức năng		Kỹ thuật tập vận động bằng thiết bị mô phỏng thực tế ảo (The virtual reality training)	
5631	120	19. Phục hồi chức năng		Kỹ thuật phục hồi chức năng vận động chi dưới bằng hệ thống Robot	
5632	121	19. Phục hồi chức năng		Kỹ thuật tập chức năng chi trên bằng phản hồi sinh học (Biofeedback)	
5633	122	19. Phục hồi chức năng		Kỹ thuật phục hồi chức năng vận động chi trên bằng hệ thống Robot	
5634	123	19. Phục hồi chức năng		Kỹ thuật kích thích xuyên sọ bằng dòng điện một chiều đều (tDCS)	
5635	124	19. Phục hồi chức năng	1.156; 2.18; 17.25 	Điều trị bằng oxy cao áp	
5636	125	19. Phục hồi chức năng 	17.73	Tập các kiểu thở	
5637	126	19. Phục hồi chức năng 	17.74	Kỹ thuật tập thở với dụng cụ	
5638	127	19. Phục hồi chức năng 	17.75	Tập ho có trợ giúp	
5639	128	19. Phục hồi chức năng 		Kỹ thuật thở chu kỳ chủ động	
5640	129	19. Phục hồi chức năng 	17.76	Kỹ thuật vỗ rung lồng ngực	
5641	130	19. Phục hồi chức năng 	17.77	Kỹ thuật dẫn lưu tư thế	
					
5642	131	19. Phục hồi chức năng 		Kỹ thuật giãn sườn	
5643	132	19. Phục hồi chức năng 		Kỹ thuật thở có trợ giúp	
5644	133	19. Phục hồi chức năng 		Kỹ thuật thở có kháng trở	
5645	134	19. Phục hồi chức năng 		Kỹ thuật thở với đai trợ giúp	
5646	135	19. Phục hồi chức năng 		Kỹ thuật vỗ rung lồng ngực với máy	
5647	136	19. Phục hồi chức năng 		Kỹ thuật nhún sườn	
5648	137	19. Phục hồi chức năng 		Kỹ thuật huy động phế nang	
5649	138	19. Phục hồi chức năng 		Kỹ thuật tập cơ hô hấp cho người bệnh thở máy	
5650	139	19. Phục hồi chức năng 		Kỹ thuật rung trong lồng ngực bằng máy	
5651	140	19. Phục hồi chức năng 		Kỹ thuật cho người bệnh nằm sấp	
5652	141	19. Phục hồi chức năng 	17.92	Kỹ thuật tập sử dụng và điều khiển xe lăn	
5653	142	19. Phục hồi chức năng		Kỹ thuật phục hồi chức năng bằng xe lăn đạp chân (xe lăn Profhand)	
5654	143	19. Phục hồi chức năng 	17.93	Kỹ thuật hướng dẫn người liệt hai chân ra vào xe lăn	
5655	144	19. Phục hồi chức năng 	17.94	Kỹ thuật hướng dẫn người liệt nửa người ra vào xe lăn	
5656	145	19. Phục hồi chức năng 	17.33	Kỹ thuật tập tay và bàn tay cho người bệnh liệt nửa người	
5657	146	19. Phục hồi chức năng 	17.62	Tập tạo thuận thần kinh cơ cảm thụ bản thể chức năng	
5658	147	19. Phục hồi chức năng 	17.82	Kỹ thuật ức chế co cứng tay	
5659	148	19. Phục hồi chức năng		Kỹ thuật tập nhận thức - cảm giác - vận động (phương pháp Perfetti)	
5660	149	19. Phục hồi chức năng 	17.102	Tập tri giác và nhận thức	
5661	150	19. Phục hồi chức năng 		Kỹ thuật phục hồi khả năng nhận thức bản thân	
5662	151	19. Phục hồi chức năng 		Kỹ thuật phục hồi chức năng trí nhớ	
5663	152	19. Phục hồi chức năng 		Kỹ thuật phục hồi chức năng tập trung chú ý	
					
5664	153	19. Phục hồi chức năng 		Kỹ thuật phục hồi chức năng điều hành	
5665	154	19. Phục hồi chức năng 	17.101	Tập điều hòa cảm giác	
5666	155	19. Phục hồi chức năng 	17.95	Tập các vận động thô của bàn tay	
5667	156	19. Phục hồi chức năng 	17.96	Tập các vận động khéo léo của bàn tay	
5668	157	19. Phục hồi chức năng 	17.97	Tập phối hợp hai tay	
5669	158	19. Phục hồi chức năng 	17.98	Tập phối hợp tay mắt	
5670	159	19. Phục hồi chức năng 	17.99	Tập phối hợp tay miệng	
5671	160	19. Phục hồi chức năng	17.100; 3.769	"Tập các chức năng sinh hoạt hàng ngày (ADL) (ăn uống, tắm rửa, vệ sinh, vui chơi giải trí…)"	
5672	161	19. Phục hồi chức năng 	17.103	Tập các chức năng sinh hoạt hàng ngày ADL với các dụng cụ phục hồi chức năng	
5673	162	19. Phục hồi chức năng 	17.188	Kỹ thuật tập bắt buộc tay người bệnh bên liệt (CIMT)	
5674	163	19. Phục hồi chức năng 	17.189	Kỹ thuật gương trị liệu (Miror therapy)	
5675	164	19. Phục hồi chức năng 		Kỹ thuật phục hồi các vấn đề tâm lý	
5676	165	19. Phục hồi chức năng 		Kỹ thuật phục hồi các vấn đề hành vi	
5677	166	19. Phục hồi chức năng 		Kỹ thuật phục hồi các vấn đề cảm xúc	
5678	167	19. Phục hồi chức năng 		Kỹ thuật phục hồi chức năng các khiếm khuyết thị giác	
5679	168	19. Phục hồi chức năng 		Kỹ thuật phục hồi chức năng các khiếm khuyết về cảm giác	
5680	169	19. Phục hồi chức năng 		Kỹ thuật tập luyện khả năng tự ăn uống	
5681	170	19. Phục hồi chức năng 	17.137	Kỹ thuật băng nẹp bảo vệ bàn tay chức năng (trong liệt tứ chi)	
5682	171	19. Phục hồi chức năng 		Kỹ thuật tập luyện khả năng tự vệ sinh cơ thể	
5683	172	19. Phục hồi chức năng 		Kỹ thuật tập luyện khả năng tự mặc quần áo	
5684	173	19. Phục hồi chức năng		Kỹ thuật tập luyện các hoạt động sinh hoạt hằng ngày nâng cao	
5685	174	19. Phục hồi chức năng 		Kỹ thuật tích hợp giác quan	
					
5686	175	19. Phục hồi chức năng 		Kỹ thuật tập luyện khả năng viết	
5687	176	19. Phục hồi chức năng 		Kỹ thuật trợ giúp và thích ứng trong sinh hoạt hằng ngày	
5688	177	19. Phục hồi chức năng 		Âm nhạc trị liệu	
5689	178	19. Phục hồi chức năng 		Lao động trị liệu	
5690	179	19. Phục hồi chức năng 		Liệu pháp âm nhạc múa trị liệu	
5691	180	19. Phục hồi chức năng 		Kỹ thuật chuyền bóng gọi tên	
5692	181	19. Phục hồi chức năng 		Kỹ thuật vận động trên xe tập	
5693	182	19. Phục hồi chức năng 		Kỹ năng giao tiếp	
5694	183	19. Phục hồi chức năng 		Kỹ năng thích ứng xã hội	
5695	184	19. Phục hồi chức năng 		Kỹ năng tham gia các hoạt động giải trí	
5696	185	19. Phục hồi chức năng 		Kỹ thuật thay đổi hành vi trong đau mạn tính	
5697	186	19. Phục hồi chức năng 	17.104	Tập nuốt	
5698	187	19. Phục hồi chức năng 	17.105	Tập nói	
5699	188	19. Phục hồi chức năng 	17.106	Tập nhai	
5700	189	19. Phục hồi chức năng 	17.107	Tập phát âm	
5701	190	19. Phục hồi chức năng 	17.108	"Tập giao tiếp (ngôn ngữ ký hiệu, hình ảnh…)"	
5702	191	19. Phục hồi chức năng 	17.109	Tập cho người thất ngôn	
5703	192	19. Phục hồi chức năng 	17.11	Tập luyện giọng	
5704	193	19. Phục hồi chức năng 	17.111	Tập sửa lỗi phát âm	
5705	194	19. Phục hồi chức năng 	17.194	"Kỹ thuật kiểm soát cơ hàm mặt và hoạt động nhai, nuốt"	
5706	195	19. Phục hồi chức năng		Kỹ thuật phục hồi chức năng giao tiếp tăng cường và thay thế (AAC) công nghệ thấp	
5707	196	19. Phục hồi chức năng		Kỹ thuật phục hồi chức năng giao tiếp tăng cường và thay thế (AAC) công nghệ cao	
					
5708	197	19. Phục hồi chức năng		Kỹ thuật phục hồi chức năng giao tiếp tăng cường và thay thế (AAC) bằng thiết bị thay thế (không bao gồm tiền thiết bi)	
5709	198	19. Phục hồi chức năng 		Kỹ thuật phục hồi chức năng ngôn ngữ hiểu	
5710	199	19. Phục hồi chức năng 		Kỹ thuật phục hồi chức năng ngôn ngữ diễn đạt	
5711	200	19. Phục hồi chức năng		Kỹ thuật phục hồi chức năng sử dụng ngôn ngữ phù hợp với ngữ cảnh	
5712	201	19. Phục hồi chức năng 		Tập phân nhóm hình cho người bệnh mất ngôn ngữ toàn bộ	
5713	202	19. Phục hồi chức năng		Tập đọc lặp lại nhiều lần cho người bệnh rối loạn đọc (MOR)	
5714	203	19. Phục hồi chức năng 		Kỹ thuật phục hồi chức năng âm lời nói bằng tiếp cận âm vị	
5715	204	19. Phục hồi chức năng		Kỹ thuật phục hồi chức năng âm lời nói bằng tiếp cận cấu âm	
5716	205	19. Phục hồi chức năng 		Tập mạnh cơ nuốt	
5717	206	19. Phục hồi chức năng 		Tập vận động miệng	
5718	207	19. Phục hồi chức năng 		Tập nuốt với thức ăn và thức uống được điều chỉnh	
5719	208	19. Phục hồi chức năng 		Tập phục hồi giọng sau liệt dây thanh	
5720	209	19. Phục hồi chức năng 		Tập kiểm soát hành vi trong phục hồi giọng nói	
5721	210	19. Phục hồi chức năng 		Tập nói giọng thực quản	
5722	211	19. Phục hồi chức năng 		Tập phát âm khi có ống mở khí quản	
5723	212	19. Phục hồi chức năng 		Kỹ thuật huấn luyện đối tác giao tiếp	
5724	213	19. Phục hồi chức năng		Kỹ thuật tương tác nhóm cho người bệnh rối loạn ngôn ngữ sau tổn thương não	
5725	214	19. Phục hồi chức năng 		Kỹ thuật kích thích xúc giác nhiệt vùng miệng	
5726	215	19. Phục hồi chức năng 		Kỹ thuật tập nuốt gián tiếp	
5727	216	19. Phục hồi chức năng 		Kỹ thuật tập nuốt trực tiếp	
5728	217	19. Phục hồi chức năng 		Kỹ thuật phục hồi khả năng nói lưu loát	
5729	218	19. Phục hồi chức năng 		Kỹ thuật tập kiểm soát tốc độ lời nói	
					
5730	219	19. Phục hồi chức năng 		Kỹ thuật phục hồi kỹ năng ngữ dụng	
5731	220	19. Phục hồi chức năng		Phục hồi chức năng thính lực bằng liệu pháp thính giác - lời nói (AVT)	
5732	221	19. Phục hồi chức năng 		Kỹ thuật trị liệu kỹ năng đọc - viết	
5733	222	19. Phục hồi chức năng 		Kỹ thuật PACE	
5734	223	19. Phục hồi chức năng 		Kỹ thuật Deblocking	
5735	224	19. Phục hồi chức năng 		Kỹ thuật tập nuốt bằng phản hồi sinh học (Biofeedback)	
5736	225	19. Phục hồi chức năng 		Kỹ thuật kích thích điện điều trị rối loạn nuốt và phát âm	
5737	226	19. Phục hồi chức năng	3.715; 17.195 	Chẩn đoán điện thần kinh cơ	
5738	227	19. Phục hồi chức năng 		Kỹ thuật liệu pháp trò chơi Dixit	
5739	228	19. Phục hồi chức năng 	17.89	"Kỹ thuật kiểm soát đầu, cổ và thân mình"	
5740	229	19. Phục hồi chức năng 		Liệu pháp kích hoạt hành vi (BA)	
5741	230	19. Phục hồi chức năng 	17.19	Kỹ thuật phân tích hành vi ứng dụng (ABA)	
5742	231	19. Phục hồi chức năng 	17.191	Kỹ thuật kích thích giao tiếp sớm cho trẻ nhỏ	
5743	232	19. Phục hồi chức năng 	17.192	Kỹ thuật dạy trẻ hiểu và diễn tả bằng ngôn ngữ	
5744	233	19. Phục hồi chức năng 	17.193	Kỹ thuật vận động môi miệng chuẩn bị cho trẻ tập nói	
5745	234	19. Phục hồi chức năng 	17.136	Kỹ thuật điều trị bàn chân khoèo bẩm sinh theo phương pháp Ponsetti	
5746	235	19. Phục hồi chức năng 	17.138	Kỹ thuật bó bột Hip Spica Cast điều trị trật khớp háng bẩm sinh	
5747	236	19. Phục hồi chức năng 	17.17	"Kỹ thuật kiểm soát tư thế (ngồi, bò, đứng, đi)"	
5748	237	19. Phục hồi chức năng 	17.171	"Kỹ thuật tạo thuận vận động cho trẻ (lẫy, ngồi, bò, đứng, đi)"	
5749	238	19. Phục hồi chức năng 	17.175	Kỹ thuật kéo giãn cho trẻ em bị vẹo cổ do xơ cơ ức đòn chũm	
5750	239	19. Phục hồi chức năng 	17.176	Kỹ thuật tập vận động cho trẻ xơ hóa cơ	
5751	240	19. Phục hồi chức năng 	17.177	"Kỹ thuật tập vận động cho trẻ bị biến dạng cột sống (cong vẹo, gù, ưỡn)"	
					
5752	241	19. Phục hồi chức năng 	17.178	Kỹ thuật hỗ trợ tăng tốc thì thở ra ở trẻ nhỏ	
5753	242	19. Phục hồi chức năng 	17.218	Kỹ thuật thông mũi họng ngược dòng ở trẻ em	
5754	243	19. Phục hồi chức năng 	17.59	Tập trong bồn bóng nhỏ	
5755	244	19. Phục hồi chức năng 	17.112	Lượng giá chức năng người khuyết tật	
5756	245	19. Phục hồi chức năng 	17.113	Lượng giá chức năng tim mạch	
5757	246	19. Phục hồi chức năng 	17.114	Lượng giá chức năng hô hấp	
5758	247	19. Phục hồi chức năng 	17.115	Lượng giá chức năng tâm lý	
5759	248	19. Phục hồi chức năng 	17.116	Lượng giá chức năng tri giác và nhận thức	
5760	249	19. Phục hồi chức năng 	17.117	Lượng giá chức năng ngôn ngữ	
5761	250	19. Phục hồi chức năng 	17.118	Lượng giá chức năng dáng đi	
5762	251	19. Phục hồi chức năng 	17.119	Lượng giá chức năng thăng bằng	
5763	252	19. Phục hồi chức năng 	17.12	Lượng giá chức năng sinh hoạt hàng ngày	
5764	253	19. Phục hồi chức năng 	17.121	Lượng giá lao động hướng nghiệp	
5765	254	19. Phục hồi chức năng	3.825; 17.122 	Thử cơ bằng tay	
5766	255	19. Phục hồi chức năng	3.823; 17.123 	Đo tầm vận động khớp	
5767	256	19. Phục hồi chức năng 	17.127	Lượng giá sự phát triển của trẻ theo nhóm tuổi	
5768	257	19. Phục hồi chức năng 	17.128	Lượng giá sự phát triển của trẻ bằng Test Denver	
5769	258	19. Phục hồi chức năng 		Đánh giá rối loạn nuốt	
5770	259	19. Phục hồi chức năng 		Đo độ co cơ và ngưỡng đau bằng máy	
5771	260	19. Phục hồi chức năng 	17.196	Lượng giá sự phát triển của trẻ theo nhóm tuổi bằng kỹ thuật ASQ	
5772	261	19. Phục hồi chức năng 	17.197	Lượng giá kỹ năng ngôn ngữ-giao tiếp ở trẻ em	
5773	262	19. Phục hồi chức năng 	17.198	Lượng giá kỹ năng vận động tinh và kỹ năng sinh hoạt hàng ngày ở trẻ em	
					
5774	263	19. Phục hồi chức năng 	17.199	Lượng giá trẻ tự kỷ theo tiêu chuẩn DSM-IV	
5775	264	19. Phục hồi chức năng 	17.2	Lượng giá trẻ tự kỷ bằng thang điểm CARS	
5776	265	19. Phục hồi chức năng 	17.201	Kỹ thuật sàng lọc trẻ tự kỷ bằng bảng kiểm M-CHAT	
5777	266	19. Phục hồi chức năng 	17.202	Lượng giá kỹ năng vận động thô theo thang điểm GMFM	
5778	267	19. Phục hồi chức năng 	17.203	Lượng giá kỹ năng vận động trẻ bại não theo thang điểm GMFCS	
5779	268	19. Phục hồi chức năng 	17.205	Lượng giá tâm trí tối thiểu MMSE	
5780	269	19. Phục hồi chức năng 	17.206	Đo mức độ tiêu thụ oxy tối đa	
5781	270	19. Phục hồi chức năng 	17.207	Đo mức độ tiêu thụ oxy bán tối đa	
5782	271	19. Phục hồi chức năng 	17.209	Nghiệm pháp vận động toàn bộ Rickili	
5783	272	19. Phục hồi chức năng 	17.21	Nghiệm pháp Tinetti	
5784	273	19. Phục hồi chức năng 	17.211	Nghiệm pháp đo thời gian đứng dậy và đi	
5785	274	19. Phục hồi chức năng 	17.212	Nghiệm pháp dừng bước khi vừa đi vừa nói	
5786	275	19. Phục hồi chức năng 	17.213	Đo áp lực bàn chân bằng máy	
5787	276	19. Phục hồi chức năng 	"17,204"	Lượng giá mức độ co cứng bằng thang điểm Ashworth cải biên (MAS)	
5788	277	19. Phục hồi chức năng		Kỹ thuật lượng giá chức năng vận động bàn tay bằng Nine Hole Peg test	
5789	278	19. Phục hồi chức năng		Kỹ thuật lượng giá chức năng vận động chi trên bằng thang điểm Motor Wolf function test	
5790	279	19. Phục hồi chức năng 		Đo lường khả năng thực hiện hoạt động theo COPM	
5791	280	19. Phục hồi chức năng 		Lượng giá chức năng chi trên	
5792	281	19. Phục hồi chức năng 		Lượng giá khả năng thao tác bằng tay theo phân loại MACS	
5793	282	19. Phục hồi chức năng 		Lượng giá chức năng chi trên theo Fugl-Meyer (FMA-UE)	
5794	283	19. Phục hồi chức năng 		Lượng giá chức năng chi dưới theo Fugl-Meyer (FMA-UE)	
5795	284	19. Phục hồi chức năng 		Lượng giá chức năng chi trên theo PMAL	
					
5796	285	19. Phục hồi chức năng 		Lượng giá chức năng bàn tay theo ABILHANDS-KID	
5797	286	19. Phục hồi chức năng 		Lượng giá sự tham gia và vui thích ở trẻ em theo CAPE	
5798	287	19. Phục hồi chức năng 		Lượng giá mức độ độc lập chức năng	
5799	288	19. Phục hồi chức năng 		Lượng giá môi trường sống của người bệnh	
5800	289	19. Phục hồi chức năng 		Lượng giá theo thang ELADEB	
5801	290	19. Phục hồi chức năng 		Lượng giá mức độ tổn thương tủy sống theo ASIA	
5802	291	19. Phục hồi chức năng		Lượng giá mức độ chức năng nhận thức theo Rancho Los Amigo	
5803	292	19. Phục hồi chức năng 		Lượng giá chức năng bàn tay theo Jebsen	
5804	293	19. Phục hồi chức năng 		Lượng giá chức năng cảm giác	
5805	294	19. Phục hồi chức năng 		Lượng giá chức năng tri giác thị giác	
5806	295	19. Phục hồi chức năng 		Lượng giá các hoạt động chức năng của trẻ	
5807	296	19. Phục hồi chức năng		Lượng giá khả năng phối hợp hai tay trong sinh hoạt hằng ngày	
5808	297	19. Phục hồi chức năng		Lượng giá quên sau chấn thương sọ não bằng thang điểm Westmead	
5809	298	19. Phục hồi chức năng 		Lượng giá chức năng nhận thức	
5810	299	19. Phục hồi chức năng		Lượng giá chức năng giao tiếp tăng cường và thay thế (AAC)	
5811	300	19. Phục hồi chức năng		Lượng giá chức năng ngôn ngữ hiểu và diễn đạt ngôn ngữ ở trẻ em	
5812	301	19. Phục hồi chức năng		Lượng giá chức năng ngôn ngữ hiểu và diễn đạt ngôn ngữ ở người lớn	
5813	302	19. Phục hồi chức năng 		Lượng giá chức năng tạo lời nói ở trẻ em	
5814	303	19. Phục hồi chức năng 		Lượng giá chức năng tạo lời nói ở người lớn	
5815	304	19. Phục hồi chức năng 		Lượng giá nuốt bằng các loại thức ăn cải biên	
5816	305	19. Phục hồi chức năng		Lượng giá nuốt bằng các loại thức ăn cải biên và bột làm đặc	
5817	306	19. Phục hồi chức năng 		Lượng giá nuốt bằng nội soi ống mềm	
					
5818	307	19. Phục hồi chức năng		Lượng giá nuốt bằng kỹ thuật ghi hình chiếu X-quang có thuốc cản quang	
5819	308	19. Phục hồi chức năng 		Lượng giá rối loạn giọng	
5820	309	19. Phục hồi chức năng 		Lượng giá tính lưu loát lời nói	
5821	310	19. Phục hồi chức năng 		Lượng giá hoạt động chức năng và sự tham gia	
5822	311	19. Phục hồi chức năng 		Kỹ thuật đo chức năng tim mạch gắng sức bằng máy CPET	
5823	312	19. Phục hồi chức năng 		Kỹ thuật đo chức năng hô hấp gắng sức bằng máy CPET	
5824	313	19. Phục hồi chức năng		Lượng giá chức năng nhận thức theo thang điểm đánh giá nhận thức Montreal (thang điểm MoCA)	
5825	314	19. Phục hồi chức năng 		Phân loại khả năng ăn uống theo EDACS	
5826	315	19. Phục hồi chức năng 		Đo lực cơ cầm nắm bàn tay bằng lực kế	
5827	316	19. Phục hồi chức năng 		Đo lực kẹp ngón tay	
5828	317	19. Phục hồi chức năng 		Trắc nghiệm nhặt đồ vật theo Moberg	
5829	318	19. Phục hồi chức năng 		Kỹ thuật đo mức độ tiêu thụ oxy tối đa	
5830	319	19. Phục hồi chức năng		Kỹ thuật lượng giá chức năng vận động chi trên bằng thang điểm ARAT (Action research arm test)	
5831	320	19. Phục hồi chức năng		Kỹ thuật lượng giá chức năng vận động bàn tay bằng box and block test	
5832	321	19. Phục hồi chức năng		Kỹ thuật lượng giá dáng đi chức năng (functional gait assessment)	
5833	322	19. Phục hồi chức năng 	"17,208"	Nghiệm pháp đi bộ 10 mét	
5834	323	19. Phục hồi chức năng 		Kỹ thuật đo mức tiêu thụ oxy bán tối đa	
5835	324	19. Phục hồi chức năng 		Nghiệm pháp đánh giá mức độ són tiểu 1 giờ (PADS test)	
5836	325	19. Phục hồi chức năng 		Nghiệm pháp đánh giá mức độ són tiểu 24 giờ (PADS test)	
5837	326	19. Phục hồi chức năng 		Lượng giá kỹ năng tiền ngôn ngữ	
5838	327	19. Phục hồi chức năng 	17.13	Phong bế thần kinh bằng Phenol để điều trị co cứng cơ	
5839	328	19. Phục hồi chức năng		Kỹ thuật kích thích điện thần kinh chày sau qua da (PTNS) điều trị rối loạn tiểu tiện	
					
5840	329	19. Phục hồi chức năng 	17.135	Kỹ thuật can thiệp rối loạn đại tiện bằng phản hồi sinh học (Biofeedback)	
5841	330	19. Phục hồi chức năng	17.133; 3.782	Kỹ thuật thông tiểu ngắt quãng trong phục hồi chức năng tủy sống	
5842	331	19. Phục hồi chức năng		Kỹ thuật kích thích điện thần kinh cùng điều trị rối loạn tiểu tiện	
5843	332	19. Phục hồi chức năng		Kỹ thuật kích thích điện thần kinh cùng điều trị rối loạn đại tiện	
5844	333	19. Phục hồi chức năng		"Kỹ thuật phục hồi chức năng cơ đáy chậu (sàn chậu) trong điều trị, tiểu tiện không tự chủ bằng phản hồi sinh học (Biofeedback)"	
5845	334	19. Phục hồi chức năng 	17.124	Đo áp lực bàng quang bằng máy niệu động học	
5846	335	19. Phục hồi chức năng 	17.125	Đo áp lực bàng quang bằng cột thước nước	
5847	336	19. Phục hồi chức năng 	17.134	Kỹ thuật tập đường ruột cho người bệnh tổn thương tủy sống	
5848	337	19. Phục hồi chức năng 	17.217	Kỹ thuật can thiệp rối loạn tiểu tiện bằng phản hồi sinh học (Biofeedback)	
5849	338	19. Phục hồi chức năng 		Kỹ thuật tập bàng quang trong điều trị rối loạn tiểu tiện	
5850	339	19. Phục hồi chức năng		Kỹ thuật thay đổi hành vi trong điều trị rối loạn tiểu tiện và đại tiện	
5851	340	19. Phục hồi chức năng 	"2,198"	Đo dòng niệu đồ - Uroflowmetry	
5852	341	19. Phục hồi chức năng 	17.91	"Tập mạnh cơ đáy chậu (cơ sàn chậu, Pelvis floor)"	
5853	342	19. Phục hồi chức năng 	17.129	Đo áp lực bàng quang ở người bệnh nhi	
5854	343	19. Phục hồi chức năng 	17.219	"Kỹ thuật xử trí loét do đè ép độ I, độ II"	
5855	344	19. Phục hồi chức năng 	17.22	Kỹ thuật xử trí loét do đè ép độ III	
5856	345	19. Phục hồi chức năng 	17.221	Kỹ thuật xử trí loét do đè ép độ IV	
